patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-LN-A5U5-01,0.29267547,0.47458214,0.28854483,0.35443062,0.52486676,0.3681265,0.88342553,0.8843131,0.6959309,0.45626545,0.5237212,0.75008047,0.70701534,0.22138457,0.36717167,0.27050596,0.40065923,0.3449088,0.21130612,0.6494024,0.65551865,0.3374043,0.7843939,0.3376321,0.061575606,0.54537785,0.33992362,0.5024632,0.69646764,0.5647215,1,ESCA
TCGA-CD-5803-01,0.7795959,0.15963179,0.3469774,0.7703271,0.6875731,0.9594518,0.5431459,0.6291553,0.048475742,0.49792862,0.72455674,0.04382819,0.044706106,0.23155315,0.5378339,0.4496173,0.9415474,0.65848583,0.7985601,0.191995,0.8657839,0.10817605,0.90281385,0.40393013,0.91310555,0.39596397,0.8963309,0.50406533,0.3960958,0.16393319,1,STAD
TCGA-A6-2684-01,0.9015162,0.12727919,0.0037889183,0.4411421,0.6376146,0.46295333,0.6585653,0.4402141,0.4919392,0.35411233,0.8089318,0.4248605,0.95831037,0.3065698,0.47970247,0.82343066,0.33082327,0.33513188,0.6066462,0.19199884,0.6069058,0.5926831,0.41097412,0.44043982,0.809663,0.5918977,0.6274877,0.13272959,0.41644073,0.5236075,1,COAD
TCGA-CV-5432-01,0.45528466,0.18414657,0.26339135,0.5901165,0.24482532,0.51467526,0.3789239,0.7683476,0.45002398,0.4011286,0.59484327,0.5905061,0.45839512,0.22932051,0.7691397,0.5319478,0.65975374,0.47406065,0.24837464,0.51632655,0.39415538,0.5382849,0.30840608,0.28556,0.28921083,0.27281892,0.57760227,0.5473489,0.77596205,0.6194124,1,HNSC
TCGA-AA-A01X-01,0.9238386,0.22766082,0.012688778,0.46706265,0.6361897,0.4875531,0.6075769,0.39660603,0.478051,0.33297956,0.8308082,0.41367912,0.9466956,0.30034614,0.45633578,0.8599607,0.30138567,0.3084022,0.6396877,0.16171542,0.5485634,0.59519887,0.44066113,0.5046885,0.8403414,0.60384077,0.6485958,0.13761413,0.41775644,0.55169606,1,COAD
TCGA-D7-6528-01,0.4388229,0.37364337,0.83574265,0.93825096,0.8786577,0.7487309,0.2039643,0.49754176,0.4434433,0.8534537,0.34609282,0.31117737,0.3617339,0.23155327,0.4737913,0.23689725,0.5702092,0.45863152,0.59413713,0.42554447,0.26166856,0.50389826,0.39291692,0.07790834,0.61164886,0.5378742,0.28442878,0.8397415,0.16951,0.8295872,1,STAD
TCGA-L5-A4OH-01,0.63715935,0.59841186,0.27819437,0.73449236,0.3378577,0.11069843,0.98096514,0.7894,0.336356,0.3186469,0.9642262,0.4671918,0.4836697,0.48723477,0.09945664,0.33610696,0.71134233,0.3872565,0.46599555,0.378814,0.7539718,0.23734178,0.8053054,0.42044413,0.058040157,0.03260409,0.6479259,0.11670786,0.9024069,0.5418884,1,ESCA
TCGA-BR-4201-01,0.56585395,0.22273755,0.38279018,0.7146297,0.65101194,0.8079749,0.54975915,0.65904486,0.3241899,0.4783873,0.63824624,0.26210842,0.28758782,0.16639048,0.54486287,0.42180178,0.75180095,0.556787,0.6023854,0.35757816,0.7708068,0.23532128,0.6107278,0.3112191,0.70353323,0.45654112,0.72472394,0.55912703,0.46742332,0.330158,1,STAD
TCGA-D6-6515-01,0.51370716,0.110418364,0.20768444,0.6966844,0.13997093,0.4209094,0.64915335,0.9219852,0.40079635,0.2857121,0.81368977,0.45286208,0.43326083,0.28396937,0.6040007,0.4758845,0.87261784,0.49710375,0.21201703,0.38093346,0.65047616,0.49783155,0.37109163,0.28420928,0.32543722,0.08273542,0.8725539,0.32081786,0.9129256,0.55006874,1,HNSC
TCGA-CV-5973-01,0.58091843,0.24826987,0.3218181,0.5595706,0.10516855,0.44265836,0.08709544,0.6612425,0.25750485,0.5116093,0.5370543,0.56407267,0.34345794,0.30278125,0.94620967,0.6042906,0.7713714,0.47986084,0.36269468,0.34192207,0.056352735,0.70485806,0.4338566,0.3003906,0.353499,0.23506176,0.5053288,0.48185077,0.6648644,0.77325404,1,HNSC
