patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-IG-A3YB-01,-0.8443398,0.6016036,0.600689,-0.95341724,1.0068679,-0.015712997,-0.3214211,-0.16904676,0.70535,0.9135881,-1.1938329,1.3632798,0.6396252,-0.335896,0.21281469,-0.78318715,-1.3306336,-0.73374337,-0.044643488,0.4842143,-1.0386176,-0.027996052,0.9403138,0.15127055,-0.32402343,1.7998153,-1.0599467,0.25643677,-1.0915997,0.74783856,1,ESCA
TCGA-CQ-5325-01,0.6319596,0.049866945,0.40609947,-0.016090091,-0.7681091,-0.33769348,-1.2834885,-0.31383055,-1.0608854,0.42475164,-0.01023737,-0.59019566,-0.58177006,0.35518774,0.93466765,0.120578796,0.9919417,-0.14040786,0.4199899,-0.766809,-1.3635213,0.48280513,0.34352988,0.124030635,0.42622685,-0.31592584,0.30365348,-0.67553693,-0.38889518,0.944353,1,HNSC
TCGA-BR-6458-01,0.8937793,0.32642993,1.6483674,0.2583271,1.6942546,1.1607103,-1.829608,-1.5646716,-1.4422343,1.4248555,-0.68465513,-1.8986658,-1.2308528,0.05167487,0.34143105,-0.3962651,0.44005945,0.15697017,1.796818,-0.8128913,-1.1425073,-0.3985761,0.9257396,0.083913065,1.6566694,1.0261986,-0.20636553,0.18750557,-2.1210096,0.34128642,1,STAD
TCGA-L5-A4OG-01,0.86342645,1.1730201,0.6647195,-0.0010045553,0.22757834,-1.2130561,0.123476736,-0.7554973,-0.99863815,0.51025486,0.3296479,-0.31450585,-0.24818967,0.923749,-1.4995804,-0.58371294,0.061888285,-0.65330124,1.0747843,-0.54101187,-0.8478842,-0.48974094,1.2622405,0.4781526,-0.43299562,-0.25852397,-0.29590726,-1.0486469,-0.41251037,0.79946226,1,ESCA
TCGA-L5-A8NN-01,0.11493119,0.23246294,0.21565711,0.0067250123,0.101410896,-0.2523371,-0.043568693,-0.18575063,-0.17185676,0.05660697,0.14084056,-0.16715075,-0.044930987,0.13106552,-0.29096228,-0.119835876,0.11152369,-0.16100068,0.2312943,-0.10301928,-0.22732648,-0.11855167,0.20027389,0.22842298,-0.04820396,-0.0900837,-0.003302727,-0.28628758,-0.16927582,0.21466663,1,ESCA
TCGA-CN-5361-01,0.18348254,0.11935678,0.47679326,-0.18145306,-0.14788938,0.046314277,-1.5651278,-0.6211311,-0.5383876,0.5589031,-0.4709538,0.07916692,-0.31279078,0.056877725,1.1568832,0.16261792,0.037317306,-0.23683299,0.32953814,-0.15183863,-1.4925838,0.31205243,0.07259725,0.10548221,0.2349029,0.31294364,-0.20753464,-0.09835373,-0.57418054,0.8650669,1,HNSC
TCGA-AZ-4315-01,2.1963856,1.0893579,-0.20749247,-0.461377,1.3407314,0.11813809,-1.944515,-3.2010481,-0.8465622,0.19410937,0.06166905,-0.8065147,1.2370481,0.27463156,-0.4137637,2.0853806,-1.9820393,-1.4854898,2.1188686,-1.5903872,-2.0112345,0.7917603,0.65773004,1.5299815,2.0957289,1.6611695,-0.30422494,-1.0249879,-1.7262088,1.1407506,1,COAD
TCGA-CR-6471-01,0.31283844,0.21504983,0.6197159,-0.25936678,-0.25508344,0.028171249,-2.1781523,-0.9255546,-0.7585094,0.7801226,-0.67904824,0.18720597,-0.43429828,0.10909524,1.6317052,0.3297403,0.011164576,-0.24973983,0.48761883,-0.25319874,-2.0593176,0.54097134,0.14608832,0.12171735,0.28125364,0.41247675,-0.43027964,-0.030565038,-0.80163866,1.1329888,1,HNSC
TCGA-CV-5442-01,0.32770187,0.40397888,0.8872167,-0.46143284,-0.15717107,0.16847765,-3.3159485,-1.5648255,-0.8905224,1.2051337,-1.2271845,0.66254187,-0.5157901,0.063092135,2.5147967,0.6245198,-0.455366,-0.31382465,0.70870715,-0.14797485,-3.0529687,0.8434977,0.14737605,0.14031771,0.2729988,0.85580194,-1.0250043,0.3373888,-1.2596326,1.5405203,1,HNSC
TCGA-BR-8486-01,0.85514045,0.3250366,1.8408232,0.37348375,1.6948547,1.0832644,-1.8795062,-1.5341845,-1.4063148,1.5298792,-0.73238146,-1.869965,-1.2046047,0.15628597,0.21970007,-0.4968283,0.4091468,0.13620606,1.7015604,-0.7753962,-1.2961599,-0.24908075,0.83859533,-0.009623103,1.5145153,0.8932587,-0.31630394,0.28381023,-2.111636,0.5868232,1,STAD
TCGA-L5-A4OJ-11,0.36952904,0.5169231,0.34676772,0.025946084,0.12028875,-0.55671805,0.014687523,-0.36347666,-0.4489749,0.1785143,0.22967559,-0.24749202,-0.12362058,0.38832897,-0.6785264,-0.24928884,0.12855773,-0.3013422,0.5000699,-0.25258425,-0.40221837,-0.23613459,0.5141718,0.30789626,-0.16176847,-0.18508531,-0.07058336,-0.53581834,-0.2242142,0.38469118,0,ESCA
TCGA-BA-5557-01,0.7084796,0.16554207,0.5739949,-0.12628718,-0.7949266,-0.30115655,-2.0004492,-0.6945166,-1.2265253,0.688265,-0.30736098,-0.3726102,-0.67606515,0.36881343,1.4905932,0.31092203,0.82259524,-0.16882464,0.5808663,-0.7879709,-2.0070133,0.7099183,0.3846274,0.13918991,0.44913703,-0.11367414,-0.01704362,-0.51587355,-0.6668103,1.2279088,1,HNSC
TCGA-LN-A5U5-01,-0.36962163,0.8547136,0.6759967,-0.7467467,0.8541352,-0.40809515,-0.20156792,-0.37478268,0.2207619,0.8875877,-0.8357622,0.97721684,0.41822264,0.047120653,-0.32576632,-0.8030468,-1.0336974,-0.7834472,0.3147312,0.20077676,-1.0817864,-0.17940988,1.1555934,0.25667858,-0.40035373,1.3278712,-0.93327564,-0.13234794,-0.9767127,0.83898157,1,ESCA
TCGA-CD-5803-01,1.4634134,0.12908846,0.9133428,0.14487246,1.4566383,1.4647905,-1.4011712,-1.3909392,-2.0781536,1.0214143,-0.26129085,-2.5197072,-1.6996846,0.08172563,0.44028184,-0.06530967,1.0547054,0.5101648,2.0995522,-1.1193895,-0.4485931,-0.89937866,1.4169092,0.43704796,2.0487034,0.8263856,0.35895196,-0.12840217,-1.8987482,-0.59800786,1,STAD
TCGA-A6-2684-01,1.9223881,0.054550197,-0.4806473,-0.5608504,1.2716415,-0.10775326,-0.9942779,-2.1433904,-0.50355047,0.5594609,-0.019943863,-0.633071,1.2218043,0.3370169,0.1793483,1.474381,-1.3033384,-0.82378036,1.5162747,-1.1193784,-1.2281793,0.6223794,0.33157235,0.5363757,1.7511958,1.4840084,-0.26542255,-1.0429357,-1.8362964,0.69157106,1,COAD
TCGA-CV-5432-01,0.2425283,0.18556893,0.5738263,-0.24147189,-0.18286061,0.056063987,-1.9801106,-0.83661085,-0.65237856,0.71048206,-0.6323243,0.18710312,-0.37680557,0.07412767,1.4785391,0.27379942,-0.033317536,-0.25065184,0.42739233,-0.18330592,-1.8688567,0.45152336,0.105236724,0.11501207,0.2543404,0.41306743,-0.38127896,-0.02180253,-0.73269314,1.0350707,1,HNSC
TCGA-AA-A01X-01,2.0064218,0.28582293,-0.44449714,-0.5052807,1.2663652,-0.029839205,-1.1740297,-2.3170578,-0.5528631,0.4915801,0.042631596,-0.68843424,1.1846632,0.31583703,0.07446273,1.6248437,-1.4169987,-0.9340493,1.6166967,-1.2067822,-1.4038718,0.630281,0.3970824,0.71116966,1.8394288,1.5240935,-0.21640019,-1.030906,-1.8322576,0.7922801,1,COAD
TCGA-D7-6528-01,0.18055728,0.6221572,2.8986478,0.5048759,2.1642263,0.797381,-2.5969038,-1.9150851,-0.6757445,2.1633992,-1.3438517,-1.1959594,-0.68590504,0.081726044,0.15281495,-0.94147706,-0.3790544,-0.3143023,1.4782565,-0.44532058,-2.2678277,0.34352055,0.29172575,-0.44992185,1.1816938,1.3026866,-1.0621595,0.69830817,-2.5942864,1.788633,1,STAD
TCGA-L5-A4OH-01,0.9272042,1.1400093,0.63395435,0.06804822,0.1616391,-1.2234389,0.14229286,-0.75277054,-1.0559788,0.44554207,0.42426124,-0.42347276,-0.2959835,0.9518429,-1.5274531,-0.5328446,0.16586936,-0.60874844,1.0888002,-0.5801937,-0.7853043,-0.4936901,1.2017386,0.48197573,-0.41052192,-0.3931783,-0.2179559,-1.0823944,-0.3445521,0.7571156,1,ESCA
TCGA-BR-4201-01,0.65877163,0.27448004,1.0588098,0.025465699,1.321252,0.9850224,-1.3778572,-1.271905,-1.0991769,0.9586454,-0.50817406,-1.4389186,-0.92300665,-0.14003131,0.4718324,-0.1798783,0.32208252,0.090622626,1.5033251,-0.64148444,-0.73460746,-0.5000361,0.77236634,0.18481976,1.4459593,1.029704,-0.039596505,0.0072049126,-1.6797979,-0.002024278,1,STAD
TCGA-D6-6515-01,0.46246248,0.015703931,0.34755158,-0.013006242,-0.5711373,-0.24091762,-1.0274582,-0.22475506,-0.82717085,0.3397519,-0.006334117,-0.4944246,-0.45717904,0.26010478,0.7372832,0.042881668,0.7885641,-0.15559125,0.31689185,-0.57407653,-1.0969714,0.3244661,0.24356414,0.11133732,0.35852996,-0.22491992,0.30373114,-0.579708,-0.31226343,0.78644526,1,HNSC
TCGA-CV-5973-01,0.7154826,0.33330485,0.81114876,-0.30695763,-0.70001084,-0.17203277,-3.0089068,-1.2631531,-1.3359551,1.0653582,-0.79762405,0.056221247,-0.74434733,0.324124,2.2733493,0.5717706,0.39764538,-0.2267241,0.7748413,-0.68667096,-2.8861165,0.9747029,0.3820669,0.15535992,0.43923748,0.286341,-0.54913056,-0.18311273,-1.0737236,1.5866556,1,HNSC
TCGA-CG-4465-01,0.6483871,0.51895964,2.582938,0.4742941,2.1608934,1.0918252,-2.482718,-1.934117,-1.2265368,2.0463912,-1.1257032,-1.7800428,-1.1134464,0.12994382,0.2173352,-0.77393866,0.067747876,-0.056804456,1.8259511,-0.7220427,-1.9237078,0.002426885,0.69943,-0.22615793,1.5737004,1.2339833,-0.7234973,0.5279405,-2.6317914,1.2243024,1,STAD
TCGA-BR-8373-01,0.7726699,0.1752475,0.89078355,0.09473714,1.120195,0.94286495,-1.152515,-1.0708659,-1.215519,0.8263447,-0.35704952,-1.5283442,-0.9940816,-0.01581404,0.35801348,-0.13950798,0.49909028,0.1880236,1.4003371,-0.6642192,-0.572751,-0.50334734,0.7996033,0.21385181,1.3295386,0.7381799,0.07078015,-0.023638166,-1.4508215,-0.10490464,1,STAD
