,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-BR-6803-01,0.06499814,0.095368065,0.05128669,0.055735067,0.93874216,0.9498624,0.8928621,0.027061999,0.088475704,0.042474084,0.35022736,0.49724412,0.036616333,0.05346191,0.9620528,0.9578699,0.92938125,0.9115754,0.94893783,0.9868503,0.9728505,0.07184312,0.93454206,0.23525336,0.9096134,0.08566292,0.23770854,0.16840988,0.05732251,0.04529989,1,STAD
TCGA-BR-6852-01,0.46715823,0.35906503,0.21845478,0.43159392,0.48982906,0.5708614,0.39305526,0.45791852,0.5234931,0.2718256,0.41696543,0.8943889,0.41720095,0.29640183,0.57922375,0.54701674,0.5308818,0.52124095,0.5415449,0.735384,0.6661372,0.4765771,0.5331452,0.7492523,0.44609845,0.49454385,0.7089679,0.55962765,0.43684036,0.44583634,1,STAD
TCGA-BR-7722-01,0.4187264,0.39015824,0.080015056,0.30910417,0.57749623,0.7050365,0.5545307,0.21809399,0.39073277,0.23593456,0.4577518,0.5823501,0.2991749,0.29471627,0.693655,0.65477544,0.63628525,0.596759,0.64396495,0.82916886,0.8002548,0.3844031,0.6513969,0.5892197,0.5603903,0.3875546,0.52290845,0.5525462,0.30273017,0.34813625,1,STAD
TCGA-BR-8373-01,0.11099707,0.005711764,0.034686647,0.13470563,0.8911042,0.907245,0.78094435,0.1052403,0.16840447,0.01611264,0.3836383,0.742381,0.06589512,0.036577433,0.91816926,0.9651333,0.8626418,0.9024641,0.90696573,0.96717805,0.8919813,0.12266533,0.86978316,0.34477445,0.8279067,0.14618559,0.36205432,0.19447595,0.13922243,0.09463702,1,STAD
TCGA-BR-8381-01,0.37032136,0.28387186,0.08123166,0.30633375,0.60463643,0.71040404,0.5343465,0.25441262,0.39111346,0.18663847,0.4079295,0.7546537,0.27946883,0.22833087,0.7084053,0.69387424,0.65055287,0.63260484,0.6664815,0.850047,0.7852689,0.3612035,0.6611115,0.6055045,0.5701697,0.37565616,0.58112633,0.49735612,0.30812657,0.32391378,1,STAD
TCGA-BR-8486-01,0.350306,0.17361028,0.053664543,0.3171877,0.63509834,0.73164755,0.52052605,0.26856855,0.3895033,0.12828097,0.38544625,0.8792689,0.25970486,0.17783925,0.7287046,0.75525033,0.65577126,0.6954949,0.69434345,0.86634123,0.7453487,0.33927667,0.66978145,0.5998244,0.57581186,0.3563071,0.58663154,0.4353835,0.31946188,0.3074557,1,STAD
TCGA-BR-8682-01,0.16822106,0.07783019,0.022619754,0.15968066,0.840102,0.8866934,0.7574074,0.0775466,0.19793351,0.05533071,0.4518445,0.65498847,0.09608904,0.094125524,0.8902979,0.9438141,0.8271718,0.8550454,0.87076783,0.9501199,0.8843796,0.16534612,0.84105474,0.37177828,0.787069,0.18177207,0.3825043,0.27656564,0.16024323,0.13285132,1,STAD
TCGA-BR-8690-01,0.13537815,0.03972844,0.036436252,0.14561811,0.86447537,0.89222133,0.76366097,0.109595776,0.18464531,0.034887895,0.38126862,0.7213162,0.084815726,0.057971865,0.901092,0.93963516,0.8461514,0.87680525,0.8862973,0.95846987,0.8853124,0.14314492,0.85426855,0.3604332,0.8072561,0.16470627,0.37586275,0.22518405,0.14981408,0.114112005,1,STAD
TCGA-BR-A4J4-01,0.39500418,0.31047383,0.14664838,0.3517206,0.56080025,0.64943516,0.4759904,0.35605955,0.44434893,0.21350485,0.38124427,0.83924335,0.33695322,0.2408246,0.6561781,0.6245129,0.60796344,0.5843052,0.61648893,0.80933696,0.7486409,0.40346134,0.61181176,0.67431676,0.5238617,0.4206911,0.6386256,0.5092237,0.3558354,0.3689952,1,STAD
TCGA-CD-5798-01,0.2984127,0.31711766,0.07911944,0.21767348,0.71217704,0.79304576,0.6992757,0.109461695,0.2771961,0.19545165,0.554828,0.50572044,0.19799851,0.23970859,0.7912119,0.7831963,0.7383649,0.69493574,0.75378484,0.8714359,0.8796502,0.27841377,0.75173604,0.45811746,0.69075125,0.28618437,0.4314036,0.45816278,0.21391964,0.23870178,1,STAD
TCGA-CD-5799-01,0.6128499,0.4801206,0.36726353,0.5633745,0.37447274,0.4445026,0.2817738,0.5742105,0.6397096,0.43274117,0.5466544,0.8526414,0.5563965,0.44984704,0.44815886,0.42880684,0.39808148,0.41876248,0.41808575,0.5722357,0.47576696,0.603168,0.4041056,0.78972507,0.32778704,0.6219085,0.8159994,0.6729923,0.5770411,0.5782059,1,STAD
TCGA-CD-5800-01,0.0056934357,0.037901662,0.09720152,0.030622542,0.9818428,0.95966923,0.9098455,0.10550992,0.055862054,0.019460507,0.13616085,0.48648262,0.013430625,0.0,0.9748012,0.9149293,0.96942246,0.9509123,0.97259784,0.98512405,0.9711084,0.025999505,0.96055466,0.18991712,0.95631313,0.047487155,0.156432,0.04567629,0.034663655,0.01337713,1,STAD
TCGA-CD-5801-01,0.86147577,0.86275625,0.7428081,0.7884252,0.13731128,0.1751368,0.12462908,0.81556666,0.83960205,0.81356514,0.76026195,0.3794775,0.81958795,0.79851675,0.17425346,0.09282309,0.16952759,0.12869424,0.15371752,0.22950065,0.24684191,0.8461396,0.16503382,0.88600755,0.13610655,0.8621133,0.89787304,0.9121371,0.8044718,0.8306698,1,STAD
TCGA-CD-5803-01,0.21009743,0.2125145,0.061496682,0.16825756,0.79072756,0.8465442,0.754964,0.07910508,0.21928714,0.13180442,0.5178834,0.5351067,0.13068351,0.16506597,0.85094684,0.86245555,0.80149317,0.7681907,0.8221815,0.9161131,0.9206787,0.20850445,0.8112272,0.4067692,0.760798,0.22267315,0.39234725,0.3668732,0.1667246,0.16918117,1,STAD
TCGA-CD-5813-01,0.13091168,0.119342245,0.053410448,0.1195012,0.862853,0.8910819,0.80079997,0.07563603,0.16606756,0.075106114,0.42781705,0.61029714,0.07871714,0.08962795,0.90221214,0.9108702,0.8600217,0.83874756,0.8821613,0.9549494,0.9416177,0.14317858,0.86435705,0.34939775,0.8248081,0.16437136,0.35698625,0.26606783,0.12323803,0.107660845,1,STAD
TCGA-CD-8529-01,0.1651591,0.076327294,0.028223671,0.17428914,0.8129093,0.86545634,0.7248831,0.09857434,0.22149707,0.06243546,0.45515376,0.6283173,0.087828785,0.09556313,0.8700134,0.9189153,0.8149991,0.8111848,0.8471213,0.9468944,0.92073303,0.18356197,0.82193756,0.43882063,0.7656089,0.20782213,0.41729012,0.3110456,0.17343666,0.14379588,1,STAD
TCGA-CG-4301-01,0.17709154,0.19155654,0.052485175,0.13831538,0.81775475,0.8700255,0.7830337,0.056516707,0.18979011,0.1175204,0.47873247,0.5114241,0.10279824,0.1431572,0.875219,0.87936413,0.8316219,0.78905344,0.8478545,0.9360283,0.9441306,0.18001299,0.839317,0.37361923,0.7923934,0.19660272,0.36917886,0.33862376,0.1388016,0.14016753,1,STAD
TCGA-CG-4304-01,0.34279567,0.20492887,0.05633446,0.30364037,0.64033306,0.73829484,0.54518384,0.2522303,0.37463093,0.13830641,0.39353922,0.7807843,0.24669793,0.18920131,0.73385227,0.7432961,0.66816545,0.68413526,0.69717914,0.8674797,0.7855931,0.3323555,0.67971015,0.59418607,0.59117806,0.34747502,0.5431671,0.44054908,0.30118942,0.2997949,1,STAD
TCGA-CG-4305-01,0.35676405,0.23925605,0.06290131,0.30323818,0.623544,0.7268445,0.53865844,0.25085232,0.38221383,0.15795211,0.3947007,0.7876821,0.26366884,0.20458975,0.72366834,0.72295594,0.66012424,0.6632189,0.6842493,0.86302507,0.78047997,0.3454352,0.672106,0.5964669,0.58040255,0.36001223,0.5676023,0.4668998,0.30386,0.31061956,1,STAD
TCGA-CG-4306-01,0.47743002,0.40758955,0.21834064,0.42387185,0.4822042,0.5751821,0.41296947,0.42830384,0.5132783,0.29640263,0.43068886,0.7516971,0.41222125,0.3273906,0.57799155,0.53158593,0.53475267,0.50280094,0.53672594,0.7290478,0.6921198,0.47934383,0.5375813,0.7345532,0.4527803,0.49307615,0.66478944,0.5829567,0.4242716,0.44787717,1,STAD
TCGA-CG-4436-01,0.683953,0.5505344,0.5153003,0.65226996,0.3143258,0.3593372,0.22464263,0.6909371,0.7016062,0.54872525,0.5508954,0.65997237,0.63538224,0.5530512,0.35707587,0.32230878,0.3250919,0.358028,0.33967882,0.4384274,0.3582338,0.6693083,0.32575577,0.79339087,0.27544856,0.6892157,0.79663396,0.6891458,0.6654361,0.6575444,1,STAD
